"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C33","0603","3280.585mil","1824.293mil","3280.585mil","1824.293mil","3280.585mil","1795.75mil","T","90.00","470p"
"C29","0603","3178.223mil","1757.363mil","3178.223mil","1757.363mil","3178.223mil","1728.82mil","T","90.00","3n3"
"C28","C_0402","3036.49mil","1771.143mil","3036.49mil","1771.143mil","3036.49mil","1754.411mil","T","90.00","1u"
"C26","0603","515.794mil","1615.972mil","515.794mil","1615.972mil","544.337mil","1615.972mil","T","180.00","100n"
"C25","1210","3566.905mil","1768.036mil","3629.897mil","1768.036mil","3620.054mil","1768.036mil","T","180.00","22u"
"C24","1210","2942.979mil","1745.958mil","2942.979mil","1682.966mil","2942.979mil","1692.808mil","T","90.00","2u2"
"C23","C_0402","2807.618mil","1079.556mil","2807.618mil","1079.556mil","2790.886mil","1079.556mil","T","360.00","100n"
"C22","C_0402","3547.31mil","1336.509mil","3547.31mil","1336.509mil","3547.31mil","1353.241mil","T","270.00","100n"
"C21","0603","3594.554mil","1356.194mil","3594.554mil","1356.194mil","3594.554mil","1384.737mil","T","270.00","4u7"
"C19","0603","2991.225mil","994.48mil","2991.225mil","994.48mil","2991.225mil","965.937mil","T","90.00","4u7"
"C18","C_0402","3340.686mil","1117.562mil","3340.686mil","1117.562mil","3340.686mil","1100.829mil","T","90.00","100n"
"C17","0603","3397.327mil","1108.099mil","3397.327mil","1108.099mil","3397.327mil","1079.556mil","T","90.00","4u7"
"C16","C_0402","3578.806mil","1647.533mil","3578.806mil","1647.533mil","3562.073mil","1647.533mil","T","360.00","100n"
"C12","0603","3342.002mil","616.537mil","3342.002mil","616.537mil","3313.459mil","616.537mil","B","360.00","10n"
"C11","C_0402","3861.56mil","1362.957mil","3861.56mil","1362.957mil","3844.828mil","1362.957mil","T","360.00","100n"
"C10","1210","3815.315mil","1449.224mil","3752.323mil","1449.224mil","3762.166mil","1449.224mil","T","360.00","22u"
"C9","C_0402","3379.109mil","1670.203mil","3379.109mil","1670.203mil","3362.377mil","1670.203mil","T","360.00","27p"
"C8","C_0402","3299.278mil","1604.226mil","3299.278mil","1604.226mil","3299.278mil","1620.958mil","T","270.00","27p"
"C7","C_0402","3346.522mil","1604.226mil","3346.522mil","1604.226mil","3346.522mil","1620.958mil","T","270.00","100n"
"C6","C_0402","3468.57mil","1470.367mil","3468.57mil","1470.367mil","3485.302mil","1470.367mil","T","180.00","100n"
